----------------------------969969099448951372522494
Content-Disposition: form-data; name="file"; filename="RawData.csv"
Content-Type: text/csv

"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.222883610E-1,-4.501560032E-1,2.852199972E-2,6.193200126E-2,4.552905715E-1
9.273012080E-1,-4.907250106E-1,3.662899882E-2,1.285859942E-1,5.086128956E-1
9.323141310E-1,-5.452489853E-1,3.055799939E-2,1.545059979E-1,5.675406159E-1
9.373268230E-1,-5.727800131E-1,3.761199862E-2,1.805360019E-1,6.017348700E-1
9.423396690E-1,-5.732129812E-1,9.852399677E-2,2.066880018E-1,6.172519987E-1
9.473525920E-1,-5.600839853E-1,1.454859972E-1,2.329059988E-1,6.237831757E-1
9.523655240E-1,-5.468170047E-1,1.649709940E-1,2.455389947E-1,6.217022305E-1
9.573782170E-1,-5.468329787E-1,1.572320014E-1,2.445289940E-1,6.193081929E-1
9.623913760E-1,-5.600079894E-1,1.494980007E-1,2.843520045E-1,6.456118516E-1
9.674039910E-1,-5.181310177E-1,1.691319942E-1,3.241179883E-1,6.341276317E-1
9.724169620E-1,-5.030320287E-1,1.615539938E-1,3.502320051E-1,6.338796196E-1
9.774298080E-1,-5.420730114E-1,1.403339952E-1,4.035710096E-1,6.902219496E-1
9.824427020E-1,-5.398910046E-1,1.326269954E-1,4.432879984E-1,7.110390048E-1
9.874553940E-1,-5.644099712E-1,1.387020051E-1,4.829449952E-1,7.556670763E-1
9.924683180E-1,-5.750920177E-1,1.039519981E-1,5.225870013E-1,7.839859824E-1
9.974811640E-1,-5.992190242E-1,6.914299726E-2,5.349919796E-1,8.062633635E-1
1.002493842E0,-6.370859742E-1,3.395000100E-2,5.747140050E-1,8.586776628E-1
1.007506765E0,-6.613540053E-1,1.196299959E-2,6.281300187E-1,9.121839475E-1
1.012519669E0,-6.585379839E-1,-1.044800039E-2,6.407690048E-1,9.188940932E-1
1.017532515E0,-6.694329977E-1,7.666999940E-3,6.262320280E-1,9.167147180E-1
1.022545414E0,-6.533390284E-1,-2.022000030E-3,6.390470266E-1,9.139130575E-1
1.027558107E0,-6.376140118E-1,-1.220100001E-2,6.655880213E-1,9.217960222E-1
1.032571030E0,-6.086170077E-1,-2.280599996E-2,6.649820209E-1,9.017404637E-1
1.037583953E0,-5.938630104E-1,-6.525999866E-3,6.644759774E-1,8.912037861E-1
1.042596784E0,-5.661439896E-1,2.288999967E-2,6.777120233E-1,8.833666031E-1
1.047609707E0,-5.389930010E-1,5.176300183E-2,6.910730004E-1,8.779377856E-1
1.052622396E0,-4.986909926E-1,1.071970016E-1,6.909540296E-1,8.588372222E-1
1.057635319E0,-4.587059915E-1,1.345189959E-1,6.501359940E-1,8.069593283E-1
1.062648155E0,-4.597280025E-1,1.610600054E-1,6.094539762E-1,7.802078638E-1
1.067661078E0,-4.744769931E-1,1.596210003E-1,5.552800298E-1,7.476250345E-1
1.072673991E0,-5.166699886E-1,1.848219931E-1,4.875949919E-1,7.340680639E-1
1.077686683E0,-5.180889964E-1,1.686020046E-1,4.336290061E-1,6.963310701E-1
1.082699630E0,-4.718500078E-1,1.715160012E-1,3.788369894E-1,6.289496268E-1
1.087712477E0,-4.697380066E-1,2.081820071E-1,3.112959862E-1,6.007484781E-1
1.092725386E0,-4.566990137E-1,2.589679956E-1,2.302190065E-1,5.732706192E-1
1.097738309E0,-4.845780134E-1,2.826060057E-1,1.355099976E-1,5.771004808E-1
1.102750933E0,-4.907329977E-1,2.618640065E-1,8.241099864E-2,5.623017034E-1
1.107763933E0,-5.555959940E-1,2.570689917E-1,2.854700014E-2,6.128509658E-1
1.112776789E0,-6.099770069E-1,2.268999964E-1,1.541300025E-2,6.509939461E-1
1.117789482E0,-6.374980211E-1,2.243700027E-1,-1.138400007E-2,6.759254549E-1
1.122802636E0,-5.954430103E-1,2.328760028E-1,1.670300029E-2,6.395800196E-1
1.127815328E0,-5.917230248E-1,2.697870135E-1,-1.005899999E-2,6.504016869E-1
1.132828203E0,-6.328899860E-1,2.675009966E-1,-9.651999921E-3,6.871678679E-1
1.137841126E0,-6.748489738E-1,2.927890122E-1,-9.259000421E-3,7.356849000E-1
1.142853832E0,-6.695569754E-1,2.595190108E-1,3.265500069E-2,7.188344798E-1
1.147866755E0,-7.214390039E-1,2.560369968E-1,7.399599999E-2,7.690933547E-1
1.152879593E0,-7.508710027E-1,2.812710106E-1,1.289319992E-1,8.121232077E-1
1.157892593E0,-7.675610185E-1,3.200219870E-1,1.566880047E-1,8.462358537E-1
1.162905208E0,-7.453250289E-1,3.119969964E-1,1.854549944E-1,8.290024604E-1
1.167918362E0,-7.566710114E-1,3.075129986E-1,1.997690052E-1,8.408465492E-1
1.172931073E0,-7.859860063E-1,2.910259962E-1,1.731259972E-1,8.558286881E-1
1.177943996E0,-8.153910041E-1,2.882939875E-1,1.464650035E-1,8.771703997E-1
1.182956871E0,-7.886279821E-1,2.685590088E-1,1.205480024E-1,8.417777951E-1
1.187969795E0,-8.118420243E-1,2.644860148E-1,1.347499937E-1,8.644060882E-1
1.192982501E0,-8.126369715E-1,2.486789972E-1,1.079329997E-1,8.566619073E-1
1.197995424E0,-8.000770211E-1,2.196979970E-1,1.082869992E-1,8.367296599E-1
1.203008265E0,-7.353379726E-1,1.929380000E-1,1.361149997E-1,7.723174859E-1
1.208021188E0,-7.035319805E-1,2.043810040E-1,1.772239953E-1,7.537487558E-1
1.213033876E0,-6.628069878E-1,2.035740018E-1,1.909970045E-1,7.191907487E-1
1.218046799E0,-6.091309786E-1,1.894530058E-1,2.319740057E-1,6.787819457E-1
1.223059645E0,-5.576220155E-1,2.060140073E-1,3.008880019E-1,6.662714710E-1
1.228072568E0,-5.691159964E-1,2.181199938E-1,3.828290105E-1,7.197412037E-1
1.233085506E0,-5.980970263E-1,2.443830073E-1,4.783990085E-1,8.039332799E-1
1.238098429E0,-5.868899822E-1,2.973720133E-1,5.604640245E-1,8.642857678E-1
1.243111097E0,-5.642340183E-1,3.221099973E-1,5.897219777E-1,8.774319853E-1
1.248124020E0,-5.904870033E-1,3.723149896E-1,6.177340150E-1,9.321419773E-1
1.253136886E0,-5.931010246E-1,4.094739854E-1,6.457269788E-1,9.676782013E-1
1.258149809E0,-5.958499908E-1,4.733349979E-1,6.465889812E-1,9.985792619E-1
1.263162491E0,-5.087959766E-1,4.857259989E-1,6.239489913E-1,9.402741279E-1
1.268175414E0,-5.073829889E-1,5.052419901E-1,6.117699742E-1,9.417905645E-1
1.273188251E0,-5.632510185E-1,5.125560164E-1,5.993850231E-1,9.691376506E-1
1.278201174E0,-5.917419791E-1,5.328729749E-1,5.598790050E-1,9.734355024E-1
1.283213867E0,-5.417069793E-1,5.633519888E-1,4.983580112E-1,9.269156499E-1
1.288226790E0,-5.383449793E-1,5.798079967E-1,4.459399879E-1,9.082153393E-1
1.293239708E0,-5.379610062E-1,5.716130137E-1,4.066930115E-1,8.840490299E-1
1.298252554E0,-5.376700163E-1,5.773069859E-1,3.674019873E-1,8.702623872E-1
1.303265496E0,-4.771350026E-1,5.514540076E-1,3.339560032E-1,8.020510865E-1
1.308278419E0,-4.603469968E-1,5.679469705E-1,3.633449972E-1,8.163961696E-1
1.313291102E0,-4.606409967E-1,5.736879706E-1,3.922049999E-1,8.337462308E-1
1.318304025E0,-4.617750049E-1,5.928859711E-1,4.755989909E-1,8.893505102E-1
1.323316886E0,-3.955410123E-1,5.811110139E-1,5.106490254E-1,8.688527666E-1
1.328329809E0,-3.542219996E-1,5.821629763E-1,5.405390263E-1,8.698099763E-1
1.333342496E0,-3.565880060E-1,6.120349765E-1,5.156599879E-1,8.761546905E-1
1.338355342E0,-3.460800052E-1,6.681820154E-1,4.365310073E-1,8.699413176E-1
1.343368251E0,-3.269329965E-1,7.224630117E-1,3.392460048E-1,8.625113561E-1
1.348380944E0,-3.420769870E-1,8.139150143E-1,1.796929985E-1,9.009794055E-1
1.353393842E0,-3.592830002E-1,8.682659864E-1,-7.885999978E-3,9.396979762E-1
1.358406765E0,-3.764860034E-1,9.100199938E-1,-2.229149938E-1,1.009737191E0
1.363419679E0,-3.662430048E-1,8.854780197E-1,-4.110969901E-1,1.042691708E0
1.368432525E0,-3.149339855E-1,8.084769845E-1,-5.316240191E-1,1.017566974E0
1.373445457E0,-2.361550033E-1,6.931170225E-1,-5.437539816E-1,9.120574461E-1
1.378458150E0,-1.297170073E-1,5.804280043E-1,-4.747709930E-1,7.610063508E-1
1.383471073E0,-2.266299911E-2,4.705730081E-1,-3.519600034E-1,5.880717740E-1
1.388483905E0,7.142700255E-2,3.086169958E-1,-1.752209961E-1,3.620064423E-1
1.393496828E0,1.117630005E-1,1.078799963E-1,1.034999965E-3,1.553387688E-1
1.398509505E0,9.807199985E-2,-1.045719981E-1,1.768539995E-1,2.276636929E-1
1.403522428E0,9.829200059E-2,-3.427619934E-1,4.068129957E-1,5.409657244E-1
1.408535351E0,7.174000144E-2,-5.796099901E-1,6.773300171E-1,8.943546950E-1
1.413548198E0,7.320000231E-2,-8.288769722E-1,9.611949921E-1,1.271334373E0
1.418561102E0,1.163399965E-1,-1.035998940E0,1.190291047E0,1.582283659E0
1.423574025E0,1.872449964E-1,-1.255872965E0,1.432822943E0,1.914486662E0
1.428586717E0,2.176660001E-1,-1.488440990E0,1.743263006E0,2.302564001E0
1.433599645E0,2.623040080E-1,-1.639091015E0,2.067291021E0,2.651247803E0
1.438612491E0,3.760580122E-1,-1.708320975E0,2.323293924E0,2.908173798E0
